source_row_uid,election,stat_area_vintage,source_locality_code,source_locality_name,effective_locality_code,effective_locality_name,source_kalpi,ballot_base,eligible_voters,actual_voters,gap_reason_code,resolution_state,classification_confidence,gap_explanation,arcgis_audit_status,arcgis_audit_reason,arcgis_review_decision,arcgis_review_basis,final_assignment_method,final_assignment_source,unresolved_reason
K17:1993,K17,1995,,מעלות-תרשיחא,1063,מעלות-תרשיחא,9900,990,137,109,central_ballot_990_locality_only,intentionally_locality_only,high,Ballot 990 is a central ballot for voters registered in the locality without a supported area-level allocation; in this multi-area locality no statistical-area assignment is defensible.,,,,,historical_stat_area_pending,automatic_name_match,Central ballot 990 serves locality-registered voters without a supported area-level allocation; this multi-area locality cannot be reduced to one statistical area
K17:2047,K17,1995,,קרית יערים,1137,קריית יערים,10,1,837,606,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,reviewed_locality_crosswalk,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2048,K17,1995,,קרית יערים,1137,קריית יערים,20,2,677,456,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,reviewed_locality_crosswalk,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2112,K17,1995,,מדרשת בן גוריון,1140,מדרשת בן גוריון,10,1,546,395,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2158,K17,1995,,קיסריה,1167,קיסריה,10,1,534,324,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2159,K17,1995,,קיסריה,1167,קיסריה,20,2,644,435,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2160,K17,1995,,קיסריה,1167,קיסריה,30,3,678,429,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2161,K17,1995,,קיסריה,1167,קיסריה,40,4,654,390,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2162,K17,1995,,קיסריה,1167,קיסריה,50,5,512,348,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2191,K17,1995,,ניצנה (קהילת חינו,1195,ניצנה (קהילת חינוך),10,1,341,153,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,reviewed_locality_crosswalk,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2297,K17,1995,,קציר-חריש,1243,קציר,20,2,778,522,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,reviewed_ballot_stat_override,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2298,K17,1995,,קציר-חריש,1243,קציר,30,3,754,495,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,reviewed_ballot_stat_override,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2342,K17,1995,,שני,1287,שני,10,1,345,171,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,high,"No statistical-area identity exists for this independent locality in the active historical vintage. Its land may be present under an older parent or surrounding locality, but a later-vintage boundary is not silently substituted.",,,,,single_stat_locality,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2350,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,10,1,709,384,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2359,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,100,10,858,450,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2360,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,110,11,726,402,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2361,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,120,12,767,438,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2362,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,130,13,728,316,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2351,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,20,2,853,482,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2352,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,30,3,727,323,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K17:2353,K17,1995,,ג'דיידה-מכר,1292,ג'דיידה-מכר,40,4,816,366,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,high,"The official CBS ballot crosswalk contains no rows for this locality in this election, and no approved direct or arithmetic evidence resolves this ballot.",,,,,historical_stat_area_pending,automatic_name_match,no official ballot crosswalk row and locality is not uniquely one historical statistical area
